"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tgfbi",9.74758744680081e-36,1.37555683334883,0.635,0.247,1.63320827671148e-31,"Granulocytes 1","Tgfbi"
"Gde1",1.18817214350253e-35,-1.43648241624064,0.108,0.423,1.99078242643848e-31,"Granulocytes 1","Gde1"
"Hmgb2",2.04941825878532e-35,1.20478732305873,0.804,0.476,3.4338002925948e-31,"Granulocytes 1","Hmgb2"
"Atp6v0c",8.28877847837572e-35,-0.899966810747969,0.859,0.97,1.38878483405185e-30,"Granulocytes 1","Atp6v0c"
"Ssh2",8.97408842262684e-35,1.30171350305311,0.445,0.099,1.50360851521113e-30,"Granulocytes 1","Ssh2"
"Hcar2",1.15771209171012e-34,-1.51417876409962,0.22,0.592,1.93974660966031e-30,"Granulocytes 1","Hcar2"
"Lsp1",2.13128871090584e-34,1.32475732142142,0.647,0.283,3.57097423512274e-30,"Granulocytes 1","Lsp1"
"Aldoa",2.38954266299394e-34,-0.793376758871174,0.871,0.961,4.00367873184634e-30,"Granulocytes 1","Aldoa"
"Cpne2",1.40101690455617e-33,-1.37117132063613,0.114,0.436,2.34740382358387e-29,"Granulocytes 1","Cpne2"
"Zyx",3.63457840283829e-33,1.21190695947656,0.478,0.129,6.08973611395556e-29,"Granulocytes 1","Zyx"
"Cd68",1.59468448908982e-32,-1.1465083221773,0.414,0.708,2.67189386146999e-28,"Granulocytes 1","Cd68"
"Txnip",3.46456476234571e-32,1.17321383546107,0.712,0.352,5.80487825931023e-28,"Granulocytes 1","Txnip"
"Fam49b",4.77584431298597e-32,1.07256498738395,0.663,0.296,8.00192714640799e-28,"Granulocytes 1","Fam49b"
"AB124611",6.26749868825557e-32,1.17579399209476,0.471,0.135,1.05011940521722e-27,"Granulocytes 1","AB124611"
"Ccpg1",2.51779749961058e-31,1.17421633238636,0.41,0.09,4.21856971059753e-27,"Granulocytes 1","Ccpg1"
"Ifitm2",2.98404388057256e-31,1.15936249475164,0.92,0.745,4.99976552189932e-27,"Granulocytes 1","Ifitm2"
"Ctsb",3.83590977331957e-31,-0.880323190723336,0.767,0.933,6.42706682519694e-27,"Granulocytes 1","Ctsb"
"Fos",4.49757952909065e-31,1.62611258732001,0.51,0.178,7.53569450099138e-27,"Granulocytes 1","Fos"
"Cxcl3",9.09268132948521e-31,-2.93897153221889,0.059,0.335,1.52347875675525e-26,"Granulocytes 1","Cxcl3"
"Ifitm1",1.03992045010482e-30,1.6145003061673,0.741,0.543,1.74238671415063e-26,"Granulocytes 1","Ifitm1"
"Rilpl2",1.3197034969333e-30,-1.36334903657681,0.163,0.491,2.21116320911174e-26,"Granulocytes 1","Rilpl2"
"Cytip",1.33432949059869e-30,1.18589970445432,0.367,0.067,2.2356690614981e-26,"Granulocytes 1","Cytip"
"Ypel3",1.7905175847368e-30,0.97512445326929,0.765,0.421,3.00001221322652e-26,"Granulocytes 1","Ypel3"
"Gm26740",3.44620687417028e-30,1.03161425444438,0.333,0.049,5.77411961767231e-26,"Granulocytes 1","Gm26740"
"Picalm",3.53528260328861e-30,1.16442478434383,0.62,0.277,5.92336600181007e-26,"Granulocytes 1","Picalm"
"Neurl3",4.20778181150878e-30,1.06313289804236,0.578,0.217,7.05013842518296e-26,"Granulocytes 1","Neurl3"
"Mrpl33",6.37457880028072e-30,1.15506713353163,0.714,0.388,1.06806067798704e-25,"Granulocytes 1","Mrpl33"
"Arpc1b",8.11075183107848e-30,0.857319248981671,0.902,0.695,1.3589564692972e-25,"Granulocytes 1","Arpc1b"
"Hist1h2bc",1.49475985177975e-29,1.36827685905276,0.69,0.382,2.50447013165698e-25,"Granulocytes 1","Hist1h2bc"
"Tnfaip3",1.57312428468405e-29,-1.34709090777192,0.11,0.421,2.63576973898813e-25,"Granulocytes 1","Tnfaip3"
"Vamp8",1.65608809316117e-29,0.885136256836773,0.831,0.532,2.77477560009154e-25,"Granulocytes 1","Vamp8"
"Il1a",3.04503640866128e-29,-1.49659460797219,0.041,0.303,5.10195850271198e-25,"Granulocytes 1","Il1a"
"Ehd1",4.01106755755113e-29,-1.19526034635211,0.361,0.685,6.72054369267692e-25,"Granulocytes 1","Ehd1"
"Ltb4r1",5.5954287734261e-29,1.33310452702143,0.402,0.099,9.37514090987543e-25,"Granulocytes 1","Ltb4r1"
"Sirpb1b",5.85293131606101e-29,1.13099521186003,0.398,0.092,9.80658642006022e-25,"Granulocytes 1","Sirpb1b"
"Clec4d",6.38482523242948e-29,-1.09027484388549,0.714,0.882,1.06977746769356e-24,"Granulocytes 1","Clec4d"
"Traf1",1.11739644141566e-28,-1.36178455087895,0.08,0.367,1.87219773759194e-24,"Granulocytes 1","Traf1"
"Btg2",1.39953586711503e-28,1.25254145949841,0.68,0.354,2.34492234535123e-24,"Granulocytes 1","Btg2"
"Nfkbib",1.78659477761986e-28,-1.24049600651158,0.139,0.423,2.99343954990208e-24,"Granulocytes 1","Nfkbib"
"Bri3",2.37582956292486e-28,-0.852970063287772,0.733,0.841,3.98070243268061e-24,"Granulocytes 1","Bri3"
"Myadm",2.61018967762245e-28,1.18008042379205,0.337,0.064,4.37337280485642e-24,"Granulocytes 1","Myadm"
"Tnfrsf1b",5.9074749956351e-28,-1.0729110925635,0.347,0.667,9.8979743551866e-24,"Granulocytes 1","Tnfrsf1b"
"Ldha",1.2562169829349e-27,-1.08780164482476,0.649,0.809,2.10479155490743e-23,"Granulocytes 1","Ldha"
"Sorl1",1.48027141859029e-27,1.04262147042186,0.678,0.352,2.48019476184804e-23,"Granulocytes 1","Sorl1"
"Rps9",1.57573290587905e-27,0.680652030216884,0.969,0.91,2.64014048380035e-23,"Granulocytes 1","Rps9"
"Bnip3",2.00405078826192e-27,-1.37022593317385,0.314,0.592,3.35778709573285e-23,"Granulocytes 1","Bnip3"
