"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmc7.1",3.68755929848964e-08,-0.165056378529947,0.006,0.06,0.000617850560461939,"Microglia 2","Tmc7"
"Gm6277.1",3.70374403399843e-08,-0.181656377532919,0.013,0.074,0.000620562312896437,"Microglia 2","Gm6277"
"Frs2",3.7054426387412e-08,-0.215395751621841,0.021,0.093,0.000620846914121089,"Microglia 2","Frs2"
"Gm47428.1",3.73193843083147e-08,0.157739841180914,0.061,0.009,0.000625286284085813,"Microglia 2","Gm47428"
"Zfp212.1",3.74811857170676e-08,-0.134601928851727,0.004,0.054,0.000627997266689467,"Microglia 2","Zfp212"
"Gm31243.1",3.76308015141426e-08,-0.189618608389323,0.008,0.064,0.00063050407936946,"Microglia 2","Gm31243"
"Pik3r6.1",3.77831403894382e-08,-0.20656671765508,0.029,0.089,0.000633056517225037,"Microglia 2","Pik3r6"
"Cpeb2.1",3.83001695548239e-08,-0.261142741684378,0.056,0.15,0.000641719340891074,"Microglia 2","Cpeb2"
"Zbtb11.1",3.83696219014588e-08,-0.229844052318128,0.034,0.111,0.000642883014958942,"Microglia 2","Zbtb11"
"Snhg17",3.92092494798603e-08,-0.172591992386321,0.011,0.07,0.000656950975035059,"Microglia 2","Snhg17"
"Heatr5b.1",3.92383396736651e-08,-0.172408115082252,0.008,0.063,0.000657438381232259,"Microglia 2","Heatr5b"
"Far1.1",3.9327654021407e-08,-0.31733470554506,0.128,0.241,0.000658934843128675,"Microglia 2","Far1"
"Usp19.1",3.9371019009645e-08,-0.278103251588935,0.088,0.196,0.000659661423506602,"Microglia 2","Usp19"
"Sp3.1",3.93735723854416e-08,-0.321478332509572,0.136,0.259,0.000659704205318074,"Microglia 2","Sp3"
"Tmco1.1",3.9396604812656e-08,-0.264768665912903,0.508,0.66,0.000660090113636051,"Microglia 2","Tmco1"
"Rapgef1.1",3.94317692385938e-08,-0.208541882466363,0.04,0.125,0.000660679293592639,"Microglia 2","Rapgef1"
