"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifitm5",0.119927207576878,-0.00469448447091201,0,0.003,1
"Bcat1",0.313453171243529,-0.00469585517254209,0,0.001,1
"Kcnh6",0.313453171243529,-0.00469585517254209,0,0.001,1
"Cd209a",0.478496691795948,-0.00469704900291758,0.001,0.003,1
"Rangrf",0.825778436400993,-0.00469733517736107,0.023,0.027,1
"1700020N01Rik",0.950150687869693,-0.00470249879950038,0.009,0.01,1
"Mfsd2b",0.313453171243459,-0.00470817780392587,0,0.001,1
"Rpap3",0.980390969990972,-0.00471131019381404,0.042,0.044,1
"Ribc1",0.702291145955713,-0.00471377854211988,0.009,0.012,1
"Spef1",0.478496691796079,-0.00472166719674713,0.001,0.003,1
"Luc7l",0.0562056713330702,-0.00473671521200475,0.148,0.13,1
"Slco5a1",0.313453171243457,-0.00473870023221084,0,0.001,1
"Stimate",0.862590555729514,-0.0047430714553007,0.081,0.081,1
"Nrg2",0.478496691796085,-0.00475261192062945,0.001,0.003,1
"Flt3l",0.197690397575046,-0.00475348975493762,0.017,0.023,1
"Gm30794",0.831340498594321,-0.00476079963255042,0.005,0.007,1
"Carns1",0.313453171243462,-0.00476846858066054,0,0.001,1
"Gm26672",0.327547953533787,-0.00477396943588455,0.007,0.005,1
"Ict1os",0.313453171243454,-0.00478697418311693,0,0.001,1
"9130401M01Rik",0.0523628305914015,-0.00480271700857199,0.097,0.083,1
"Zdhhc2",0.203630291263111,-0.00480388209492451,0.006,0.012,1
"Fam216a",0.550113198700297,-0.0048039268142933,0.023,0.021,1
"Gm16217",0.47849669179606,-0.00481410441357501,0.001,0.003,1
"Gm7854",0.478496691796122,-0.00481620280282359,0.001,0.003,1
"Nudt15",0.926492833506153,-0.00481684738889098,0.005,0.005,1
"Stard10",0.478496691796085,-0.00482036111088835,0.001,0.003,1
"Cbx2",0.478496691796181,-0.00483129972377195,0.001,0.003,1
"Fbh1",0.338503644200919,-0.00483586853003057,0.077,0.067,1
"C1qtnf6",0.911673153770775,-0.00484883669219028,0.001,0.001,1
"Rnaseh1",0.714576349654841,-0.00485337417709741,0.057,0.056,1
"Ccdc138",0.809114452243422,-0.00486364143806419,0.01,0.01,1
"BC030343",0.478496691796175,-0.00486392597214076,0.001,0.003,1
"1700040L08Rik",0.478496691796163,-0.00486908705085166,0.001,0.003,1
"Gm13431",0.139633752624957,-0.00488182392856597,0.005,0.003,1
"Ccno",0.478496691796178,-0.00488446126755273,0.001,0.003,1
"Lnx1",0.478496691796178,-0.00488779487449687,0.001,0.003,1
"Hormad2",0.313453171243441,-0.00488895508031533,0,0.001,1
"Gm3513",0.313453171243656,-0.00489016646741404,0,0.001,1
"Ugt1a2",0.313453171243656,-0.00489016646741404,0,0.001,1
"Cep55",0.418707772533812,-0.00490956408726956,0.015,0.022,1
"Dhrs9",0.313453171243639,-0.00491452090368773,0,0.001,1
"Dmtn",0.595418134186931,-0.00491691790316209,0.006,0.005,1
"Mnat1",0.985016491215297,-0.00492378816953626,0.123,0.123,1
"Gm38134",0.313453171243444,-0.00493171385177139,0,0.001,1
"Nhs",0.842148538793057,-0.00493896832892386,0.003,0.004,1
"Eif4b",0.187985753279225,-0.0049395948521177,0.23,0.218,1
"Gm4065",0.791104099187929,-0.00494249897795161,0.003,0.004,1
"Hcn2",0.770573350649429,-0.00494338461838918,0.003,0.004,1
"Mrps9",0.772208071843348,-0.00494454016836082,0.138,0.134,1
"Ccdc39",0.478496691795876,-0.0049458387723492,0.001,0.003,1
"Gm19522",0.313453171243674,-0.00495151082739433,0,0.001,1
"Llgl2",0.478496691796035,-0.00495382760122101,0.001,0.003,1
"2310068J16Rik",0.380680220011434,-0.00496013505562189,0.015,0.014,1
"Cmpk2",0.652542889806867,-0.0049621144192279,0.012,0.015,1
"1700020L24Rik",0.478496691795883,-0.00496313545820291,0.001,0.003,1
"Gm49475",0.31345317124357,-0.00496396485133216,0,0.001,1
"Ifng",0.31345317124357,-0.00496396485133216,0,0.001,1
"4930469K13Rik",0.466598150127681,-0.00496690359466036,0.001,0.004,1
"Uevld",0.241798867145933,-0.00496849065508005,0.029,0.025,1
"Dnd1",0.759145197228648,-0.00496943847156531,0.006,0.008,1
"Ddx51",0.965206346930407,-0.00497206725627958,0.016,0.016,1
"Pdpn",0.331907303674561,-0.00497403688621072,0.014,0.011,1
"4930479D17Rik",0.119927207576905,-0.00497705043999067,0,0.003,1
"Sema7a",0.313453171243545,-0.00498024904951215,0,0.001,1
"Pmm1",0.778982917588636,-0.00498088781645201,0.062,0.06,1
"Prm1",0.313453171243543,-0.00498528108821487,0,0.001,1
"Nlrp12",0.478496691796026,-0.00499292411697223,0.001,0.003,1
"Gm43387",0.463468304823896,-0.00499958046296497,0.005,0.004,1
