"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm10814",0.838173439064938,-0.0226418297265753,0,0.008,1
"Glt8d1",0.838173439065033,-0.0226494820173311,0,0.008,1
"Klhl11",0.838173439064972,-0.0227634140925278,0,0.008,1
"Arg1",0.838173439064965,-0.0227821237112232,0,0.008,1
"Katnal1",0.838173439065189,-0.0228018098262829,0,0.008,1
"Rcan1",0.838173439065108,-0.0228049998664694,0,0.008,1
"1810026B05Rik",0.574011480098044,-0.022810660643378,0.6,0.504,1
"Ceacam16",0.777300225215514,-0.0228527883936456,0,0.011,1
"2210408I21Rik",0.838173439064904,-0.0228569638767872,0,0.008,1
"Cep83",0.998472170687427,-0.0229183260562764,0.1,0.103,1
"Inafm1",0.838173439065169,-0.0229300577041694,0,0.008,1
"Senp8",0.838173439065135,-0.0229323373872313,0,0.008,1
"Klrc3",0.838173439064863,-0.0229385906883489,0,0.008,1
"4930565N06Rik",0.910174453809631,-0.0229528680141022,0,0.004,1
"Ccdc38",0.910174453809631,-0.0229528680141022,0,0.004,1
"Gm16185",0.910174453809631,-0.0229528680141022,0,0.004,1
"Gm45311",0.910174453809631,-0.0229528680141022,0,0.004,1
"Afdn",0.838173439065054,-0.0229625081582905,0,0.008,1
"Gm39321",0.83817343906506,-0.0229636228254317,0,0.008,1
"Zfp458",0.838173439064945,-0.0230651719144282,0,0.008,1
"Mcoln2",0.777300225215447,-0.0230958141665621,0,0.011,1
"Gm20274",0.838173439064972,-0.0231032459312827,0,0.008,1
"Gatc",0.838173439064958,-0.0231061016638934,0,0.008,1
"Zfp599",0.91017445380955,-0.0231458317671054,0,0.004,1
"Tjp1",0.838173439065006,-0.0231663843706256,0,0.008,1
"Csrnp2",0.838173439065189,-0.0231726495961274,0,0.008,1
"Ccdc157",0.838173439065101,-0.0231748859366165,0,0.008,1
"Nrde2",0.492343197456388,-0.0231936788244994,0.1,0.05,1
"Ctdspl",0.838173439065067,-0.0232087497766228,0,0.008,1
"Hsf4",0.838173439065006,-0.0232150567613911,0,0.008,1
"Gm36839",0.838173439065094,-0.0232169463069143,0,0.008,1
"Gm17767",0.838173439064931,-0.0232223716114549,0,0.008,1
"Aida",0.867892432092192,-0.0232869119116422,0.1,0.08,1
"Gm15441",0.838173439064958,-0.0232886628297233,0,0.008,1
"Aars2",0.838173439065101,-0.0233026513526552,0,0.008,1
"Zbtb18",0.83817343906502,-0.0233416879374401,0,0.008,1
"Clip3",0.910174453809669,-0.0233420675744912,0,0.004,1
"Dok4",0.838173439065067,-0.0233596016026737,0,0.008,1
"Snx29",0.838173439064958,-0.0233973361631809,0,0.008,1
"Gpnmb",0.838173439064992,-0.0234288826909012,0,0.008,1
"Dmac1",0.459597756207727,-0.0234608191337139,0.4,0.302,1
"Tbca",0.970657151779106,-0.0234712732095712,0.7,0.668,1
"Gramd1c",0.838173439064972,-0.0234802962401281,0,0.008,1
"Kif13a",0.777300225215495,-0.0234946952155001,0,0.011,1
"Gpx7",0.777300225215437,-0.0235031523139232,0,0.011,1
"9530082P21Rik",0.838173439065027,-0.0235057358469368,0,0.008,1
"Golph3l",0.53482082795527,-0.0235184805360653,0.1,0.053,1
"Tmem160",0.819139189793425,-0.0235370676424849,0.5,0.569,1
"Gm48855",0.838173439065183,-0.0235544678598832,0,0.008,1
"9130230N09Rik",0.838173439064884,-0.0235764954554684,0,0.008,1
"Gm49741",0.83817343906504,-0.023606883172406,0,0.008,1
"Gata1",0.838173439065013,-0.0236170360662816,0,0.008,1
"Gm17552",0.838173439065013,-0.0236170360662816,0,0.008,1
"Phtf1os",0.838173439065081,-0.023654082959345,0,0.008,1
"Ttc39c",0.914099597146748,-0.0236641936451688,0.1,0.084,1
"Rps6kc1",0.838173439064965,-0.0236772542165448,0,0.008,1
"Klc3",0.777300225215476,-0.0236808380465551,0,0.011,1
"Gtf2ird1",0.838173439064965,-0.0236812142470567,0,0.008,1
"Tmem123",0.999478477782629,-0.0237053989188064,0.3,0.298,1
"Mcat",0.618141332823104,-0.023723651178359,0.1,0.065,1
"Zfp973",0.838173439064931,-0.0237356662003914,0,0.008,1
"Tspan9",0.838173439065156,-0.0237367177042707,0,0.008,1
"Grasp",0.777300225215466,-0.0237392484722991,0,0.011,1
"6330415G19Rik",0.838173439065006,-0.023746130556013,0,0.008,1
"Gm10097",0.838173439065135,-0.0237580373171435,0,0.008,1
"Syngr3",0.838173439065054,-0.0237701919797639,0,0.008,1
"Tmem220",0.910174453809737,-0.0237703198484954,0,0.004,1
"Klc2",0.838173439064992,-0.0237959982375532,0,0.008,1
"Hat1",0.93366778982182,-0.0238169740445077,0.1,0.088,1
"A430105J06Rik",0.777300225215399,-0.0238397196074831,0,0.011,1
"Pold1",0.777300225215543,-0.023846737310438,0,0.011,1
"Tmem120b",0.838173439065027,-0.0238529843821152,0,0.008,1
"Plp1",0.838173439064986,-0.023859607985304,0,0.008,1
"Gm43137",0.838173439065006,-0.0239045064671332,0,0.008,1
"Trim28",0.588113455640982,-0.0239189929683378,0.2,0.153,1
"Cbr1",0.872539972181054,-0.0239377314172936,0.1,0.126,1
"Ift43",0.838173439065183,-0.0239412111292324,0,0.008,1
"Mrpl39",0.911939635602842,-0.0239423201437673,0.1,0.088,1
"Sh3pxd2b",0.838173439064999,-0.0239886801700686,0,0.008,1
"Plcg1",0.764467063174298,-0.0240068729637389,0.1,0.137,1
"Rsph1",0.838173439064897,-0.0240130329149956,0,0.008,1
"Csnk1g3",0.508619399151717,-0.0240397326502916,0.2,0.118,1
"Evi5",0.910174453809862,-0.0240769359538441,0,0.004,1
"B4galt6",0.83817343906502,-0.0240914609293709,0,0.008,1
"Klri1",0.910174453809862,-0.0241455619644053,0,0.004,1
"Clec4a1",0.838173439065081,-0.0241461669713478,0,0.008,1
"Ick",0.838173439065162,-0.0243425268555236,0,0.008,1
"Alox5",0.777300225215514,-0.0243495182306513,0,0.011,1
"Stxbp1",0.838173439064904,-0.0243733137438119,0,0.008,1
"Rpap2",0.819754501042049,-0.0243750608793707,0.1,0.076,1
"Rmdn3",0.777300225215399,-0.0244087676561625,0,0.011,1
"Zfp58",0.777300225215466,-0.0244148750971148,0,0.011,1
"Sept4",0.838173439065054,-0.0244661983788188,0,0.008,1
"Ndnf",0.838173439065101,-0.0244764090358468,0,0.008,1
"Gm16253",0.910174453809669,-0.0244837536326013,0,0.004,1
"6030458C11Rik",0.514184783973522,-0.0244846748139616,0.1,0.061,1
"Gm29361",0.910174453809575,-0.0245164571266792,0,0.004,1
"Gstm4",0.910174453809575,-0.0245164571266792,0,0.004,1
"1810055G02Rik",0.910174453809625,-0.0245219162049962,0,0.004,1
"Dnaaf4",0.777300225215466,-0.0245327977287293,0,0.011,1
"Plxdc2",0.777300225215543,-0.0245503606646954,0,0.011,1
"Pik3cb",0.777300225215409,-0.02459434383329,0,0.011,1
"Crip2",0.838173439065101,-0.0246530928203233,0,0.008,1
"Gm49463",0.838173439065013,-0.0246600914593652,0,0.008,1
"N4bp1",0.953395103042388,-0.0246610845773413,0.1,0.115,1
"Gm4841",0.83817343906506,-0.0246775717740782,0,0.008,1
"E130317F20Rik",0.777300225215466,-0.0246852902859307,0,0.011,1
"Zfp119b",0.777300225215447,-0.0247162466495556,0,0.011,1
"Gne",0.534142084723367,-0.0247934226013551,0.1,0.053,1
"Gm34086",0.838173439064992,-0.0247937974524366,0,0.008,1
"Armc2",0.777300225215447,-0.0248809084051542,0,0.011,1
"Pex1",0.838173439065054,-0.0248836883335963,0,0.008,1
"Zc3hav1l",0.777300225215447,-0.0248837532494685,0,0.011,1
"Gm5165",0.838173439065217,-0.0248879165316976,0,0.008,1
"Ankrd23",0.91017445380955,-0.0248932966152811,0,0.004,1
"Caprin2",0.91017445380955,-0.0248932966152811,0,0.004,1
"Fam83f",0.91017445380955,-0.0248932966152811,0,0.004,1
"Ppm1l",0.91017445380955,-0.0248932966152811,0,0.004,1
"Ptprm",0.91017445380955,-0.0248932966152811,0,0.004,1
"Aifm2",0.83817343906502,-0.0249244638815347,0,0.008,1
"Gpr19",0.838173439065108,-0.0249287370831687,0,0.008,1
"Bicd1",0.838173439065047,-0.0249294016318313,0,0.008,1
"Atrnl1",0.777300225215466,-0.0249307335250257,0,0.011,1
"Ms4a4a",0.838173439065047,-0.0249334944509471,0,0.008,1
"Gm11613",0.838173439065054,-0.0249543123628556,0,0.008,1
"Gm50196",0.838173439065122,-0.0249748391902337,0,0.008,1
"Fam71e1",0.838173439064952,-0.0249943995044356,0,0.008,1
"Atp5b",0.807048495726815,-0.0250270256558152,0.6,0.683,1
"Igtp",0.297479418787253,-0.0250911977164212,0.4,0.26,1
"Gorasp1",0.83817343906506,-0.0251074310196334,0,0.008,1
"Gm15270",0.838173439064938,-0.025129921591982,0,0.008,1
"Tctn3",0.83817343906506,-0.0251374299702579,0,0.008,1
"Tigit",0.838173439065142,-0.0251381701512229,0,0.008,1
"Cenpu",0.838173439065094,-0.0251421020123571,0,0.008,1
"Bend4",0.838173439064904,-0.0251547262160897,0,0.008,1
"Gm10734",0.838173439065087,-0.0251668097011691,0,0.008,1
"Gm36198",0.838173439064843,-0.025190301689213,0,0.008,1
"Tom1l2",0.838173439065033,-0.0252128244423712,0,0.008,1
"Zfp653",0.777300225215457,-0.0252262625778602,0,0.011,1
"Mrpl46",0.920077453217148,-0.0253149183543073,0.1,0.122,1
